season,episode,title,character,line
1,1,Second Contact,BOIMLER,"Captain's log, stardate 57436.2. The Cerritos is docked at Douglas Station for routine maintenance and resupply. We will soon set course for the capital planet on the Galar system, where we're scheduled to make second contact with the Galardonian high council. First contact is a delicate, high-stakes operation of diplomacy. One must be ready for anything when humanity is interacting with an alien race for the first time."
1,1,Second Contact,BOIMLER,"But we don't do that. Our specialty is second contact. Still pretty important. We get all the paperwork signed, make sure we're spelling the name of the planet right, get to know all the good places to eat."
1,1,Second Contact,MARINER,"Oh, my God. What are you doing?"
1,1,Second Contact,BOIMLER,"Uh, nothing, nothing, nothing. I'm just..."
1,1,Second Contact,MARINER,"Oh, no. Oh, no, no, no, no, no. Are you pretending to do a captain's log?"
1,1,Second Contact,BOIMLER,We're all supposed to keep logs.
1,1,Second Contact,MARINER,"Okay, let me listen to it."
1,1,Second Contact,BOIMLER,No. Go away. Leave me alone. No. No.
1,1,Second Contact,MARINER,Ah! I can't believe you're wasting your shore leave on this.
1,1,Second Contact,BOIMLER,"Privacy, please."
1,1,Second Contact,MARINER,"Aah! Hey, time to go. Come on. Get out of your little closet."
1,1,Second Contact,BOIMLER,Privacy.
1,1,Second Contact,MARINER,Let's go. Come on.
1,1,Second Contact,BOIMLER,Are you drunk?
1,1,Second Contact,MARINER,"Yeah, dude, you should be, too. I mean, this station is amazing. And they have Romulan whisky. And I bet you thought it was going to be green, but it is actually blue. It's this very beautiful color."
1,1,Second Contact,BOIMLER,Romulan whiskey is against regulation.
1,1,Second Contact,MARINER,"Yeah, 'cause it's awesome. Aw, man, they got all sorts of great stuff. Oh! Oh! Come on, check this out."
1,1,Second Contact,MARINER,"Oh, yeah."
1,1,Second Contact,BOIMLER,Ah! Be careful with that!
1,1,Second Contact,MARINER,"Pretty sweet, right? Yeah, it's a Klingon bat, um, bat, uh, bat... I don't know. I'm not a scientist. It doesn't matter. Shut up. I got it from an old guy with an eye patch."
1,1,Second Contact,BOIMLER,"Hey, hey."
1,1,Second Contact,MARINER,"Come spar with me. Come on! Oh, we can be Klingons. We can have crimped hair, wrinkled foreheads. Worf, Worf, Worf."
1,1,Second Contact,BOIMLER,It's got crusty blood on it!
1,1,Second Contact,MARINER,I love honor! I demand honor!
1,1,Second Contact,BOIMLER,"Hey, stop. Stop!"
1,1,Second Contact,TENDI,"Wow. Wow. Here we go. Ensign D'Vana Tendi, reporting for duty. I'm a transfer from Outpost 79."
1,1,Second Contact,OFFICER,Deck Four. Follow the yellow line. Take the turbolift all the way down.
1,1,Second Contact,TENDI,Thank you so much. And can I just say that I'm really honored to be...
1,1,Second Contact,OFFICER,"Keep it moving, lower decks. Next!"
1,1,Second Contact,REPLICATOR,"Banana, hot. Banana, hot."
1,1,Second Contact,BOIMLER,Aah! Frickin' burned me.
1,1,Second Contact,TENDI,"Uh, i-is there an Ensign Boimler here?"
1,1,Second Contact,REPLICATOR,"Banana, hot."
1,1,Second Contact,BOIMLER,"Hi. Here, that's me. Ahoy."
1,1,Second Contact,TENDI,Ensign Tendi reporting for duty. You're my orientation liaison.
1,1,Second Contact,BOIMLER,"Yes, welcome. Brad Boimler, Ensign, command division."
1,1,Second Contact,TENDI,"Ah! Oh, my gosh. I've never worked with commanders before. I'm in sciences."
1,1,Second Contact,BOIMLER,"I love science. Uh, it's so sciency. I mean, that blue goes green with your great... I mean, great, with your... oh, my gosh."
1,1,Second Contact,MARINER,"Yo-yo, what up? Beckett Mariner, also an ensign, command division, but not quite as impressed with myself as this little rascal over here. Yeah, we're not actual commanders, by the way, we're more like commanders-in-training."
1,1,Second Contact,TENDI,"I can't believe we're gonna serve side by side, scientists and commanders, an elite team."
1,1,Second Contact,MARINER,"Yeah, no, we're not really elite. We're more like the cool, scrappy underdogs of the ship. You know, we don't wash our hands, we're doing kickflips all the time."
1,1,Second Contact,BOIMLER,"But with focus and dedication, you could be chief medical officer someday."
1,1,Second Contact,MARINER,"Oh, senior officers are overrated. They're always, like, stressed out and just yelling about directives. It is better down here, where the real action is."
1,1,Second Contact,TENDI,You really don't care about moving up in rank?
